epoch,batch_size,embedding_dim,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1
100,64,100,100,tanh,sgd,0.1,0.0,0.0,0.7079439252336449,0.5595346814524896,0.5401089886323684,0.5392022600621862
200,64,100,100,tanh,sgd,0.1,0.0,0.0,0.7102803738317757,0.5527073732718895,0.5321692253603656,0.5279467748247767
300,64,100,100,tanh,sgd,0.1,0.0,0.0,0.6915887850467289,0.5363562091503268,0.5260752373139576,0.5239154616240266
100,64,100,100,tanh,adam,0.1,0.0,0.0,0.2476635514018692,0.12383177570093458,0.5,0.19850187265917604
200,64,100,100,tanh,adam,0.1,0.0,0.0,0.2476635514018692,0.12383177570093458,0.5,0.19850187265917604
300,64,100,100,tanh,adam,0.1,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
100,64,100,100,tanh,sgd,0.1,0.001,0.0,0.7359813084112149,0.6063144654088051,0.5619067151060588,0.5635923950804436
200,64,100,100,tanh,sgd,0.1,0.001,0.0,0.7126168224299065,0.5627899499333976,0.5400503925934607,0.5382712800947245
300,64,100,100,tanh,sgd,0.1,0.001,0.0,0.6985981308411215,0.5705779640300331,0.5592112973163014,0.5620285095547464
100,64,100,100,tanh,adam,0.1,0.001,0.0,0.3481308411214953,0.4630439159069339,0.4623520450017578,0.3480988126108913
200,64,100,100,tanh,adam,0.1,0.001,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
300,64,100,100,tanh,adam,0.1,0.001,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
100,64,100,100,tanh,sgd,0.01,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
200,64,100,100,tanh,sgd,0.01,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
300,64,100,100,tanh,sgd,0.01,0.0,0.0,0.7453271028037384,0.5193417034272141,0.5016699871088715,0.4443478364439787
100,64,100,100,tanh,adam,0.01,0.0,0.0,0.6939252336448598,0.573010075977435,0.5655982655572483,0.5681196706284711
200,64,100,100,tanh,adam,0.01,0.0,0.0,0.7079439252336449,0.5710537736221251,0.5527657330364467,0.5548455272376294
300,64,100,100,tanh,adam,0.01,0.0,0.0,0.6985981308411215,0.5571483696700752,0.5433903668112036,0.5443915400675012
100,64,100,100,tanh,sgd,0.01,0.001,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
200,64,100,100,tanh,sgd,0.01,0.001,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
300,64,100,100,tanh,sgd,0.01,0.001,0.0,0.7453271028037384,0.4758865248226951,0.4985058010078519,0.4358546465929016
100,64,100,100,tanh,adam,0.01,0.001,0.0,0.677570093457944,0.5499482401656315,0.5452361420367983,0.5466519296306531
200,64,100,100,tanh,adam,0.01,0.001,0.0,0.6588785046728972,0.5190664036817882,0.5169928512832532,0.5169449598021026
300,64,100,100,tanh,adam,0.01,0.001,0.0,0.6962616822429907,0.5655575919921049,0.5544943161842261,0.5569499299273794
100,64,100,100,tanh,sgd,0.001,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
200,64,100,100,tanh,sgd,0.001,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
300,64,100,100,tanh,sgd,0.001,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
100,64,100,100,tanh,adam,0.001,0.0,0.0,0.7289719626168224,0.6134120813397129,0.5888901910230868,0.5952652688557734
200,64,100,100,tanh,adam,0.001,0.0,0.0,0.7149532710280374,0.5957281827153531,0.5795734208367515,0.584214549624156
300,64,100,100,tanh,adam,0.001,0.0,0.0,0.7149532710280374,0.5996872025023801,0.5859017930387905,0.5904241967871486
100,64,100,100,tanh,sgd,0.001,0.001,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
200,64,100,100,tanh,sgd,0.001,0.001,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
300,64,100,100,tanh,sgd,0.001,0.001,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
100,64,100,100,tanh,adam,0.001,0.001,0.0,0.7079439252336449,0.5855247075257553,0.5717508496425642,0.5756090208863822
200,64,100,100,tanh,adam,0.001,0.001,0.0,0.7196261682242991,0.5761416589002796,0.5478729637876479,0.5474411391512759
300,64,100,100,tanh,adam,0.001,0.001,0.0,0.6939252336448598,0.5424286464010335,0.5307922184460331,0.5295322005454164
100,64,100,100,relu,sgd,0.1,0.0,0.0,0.7242990654205608,0.5885869565217392,0.5573069260517989,0.5590710668762005
200,64,100,100,relu,sgd,0.1,0.0,0.0,0.7242990654205608,0.5717105263157894,0.5383218094456815,0.5328375328375329
300,64,100,100,relu,sgd,0.1,0.0,0.0,0.677570093457944,0.5288644688644689,0.5230868393296613,0.5223214285714286
100,64,100,100,relu,adam,0.1,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
200,64,100,100,relu,adam,0.1,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
300,64,100,100,relu,adam,0.1,0.0,0.0,0.7523364485981309,0.37616822429906543,0.5,0.4293333333333333
100,64,100,100,relu,sgd,0.1,0.001,0.0,0.7359813084112149,0.5999050650583571,0.5524141568030001,0.5503491107206278
200,64,100,100,relu,sgd,0.1,0.001,0.0,0.7149532710280374,0.5661696178937559,0.5416031876245165,0.5398984914704639
