epoch,batch_size,embedding_dim,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
200,64.0,200.0,100.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
400,64.0,200.0,100.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,tanh,adam,0.1,0.001,0.0,0.12108943687891055,0.12076583210603828,1.0,0.21550591327201046,0.5002092925910423
300,64.0,200.0,100.0,tanh,adam,0.1,0.001,0.0,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
200,64.0,200.0,100.0,tanh,adam,0.001,0.0,0.0,0.9514170040485832,0.80625,0.7865853658536586,0.7962962962962963,0.8803165422822081
300,64.0,200.0,100.0,tanh,adam,0.001,0.0,0.0,0.9488406330511594,0.7907692307692308,0.7835365853658537,0.7871362940275651,0.8775363964920521
200,64.0,200.0,100.0,tanh,adam,0.001,0.001,0.0,0.9473684210526316,0.8245614035087719,0.7164634146341463,0.7667210440456771,0.8477670777649594
300,64.0,200.0,100.0,tanh,adam,0.001,0.001,0.0,0.9263894000736106,0.7253521126760564,0.6280487804878049,0.673202614379085,0.7976995681426049
200,64.0,200.0,100.0,tanh,sgd,0.1,0.0,0.0,0.9470003680529996,0.7967741935483871,0.7530487804878049,0.774294670846395,0.863338957008239
300,64.0,200.0,100.0,tanh,sgd,0.1,0.0,0.0,0.9466323150533676,0.7942122186495176,0.7530487804878049,0.7730829420970265,0.8631296644171966
200,64.0,200.0,100.0,tanh,sgd,0.1,0.001,0.0,0.9094589620905408,0.5923423423423423,0.8018292682926829,0.6813471502590673,0.8630326751676893
300,64.0,200.0,100.0,tanh,sgd,0.1,0.001,0.0,0.9477364740522636,0.81,0.7408536585365854,0.7738853503184714,0.8584971515788828
200,64.0,200.0,100.0,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,tanh,sgd,0.001,0.0,0.0,0.8796466691203534,1.0,0.003048780487804878,0.0060790273556231,0.5015243902439024
200,64.0,200.0,100.0,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,relu,adam,0.1,0.0,0.0,0.8789105631210894,0.0,0.0,0.0,0.4997907074089577
300,64.0,200.0,100.0,relu,adam,0.1,0.0,0.0,0.8789105631210894,0.0,0.0,0.0,0.4997907074089577
200,64.0,200.0,100.0,relu,adam,0.1,0.001,0.0,0.8744939271255061,0.15789473684210525,0.009146341463414634,0.01729106628242075,0.5012244892750309
300,64.0,200.0,100.0,relu,adam,0.1,0.001,0.0,0.8759661391240339,0.09090909090909093,0.003048780487804878,0.005899705014749263,0.4994314643334797
200,64.0,200.0,100.0,relu,adam,0.001,0.0,0.0,0.9481045270518956,0.7987220447284346,0.7621951219512195,0.7800312012480499,0.8679121277399463
300,64.0,200.0,100.0,relu,adam,0.001,0.0,0.0,0.9484725800515276,0.7993630573248408,0.7652439024390244,0.7819314641744548,0.8694365179838487
200,64.0,200.0,100.0,relu,adam,0.001,0.001,0.0,0.9484725800515276,0.8615384615384616,0.6829268292682927,0.7619047619047619,0.8339288813566244
300,64.0,200.0,100.0,relu,adam,0.001,0.001,0.0,0.9429517850570482,0.7629179331306991,0.7652439024390244,0.7640791476407914,0.8662971291182147
200,64.0,200.0,100.0,relu,sgd,0.1,0.0,0.0,0.9470003680529996,0.8006535947712419,0.7469512195121951,0.7728706624605678,0.8607087617025186
300,64.0,200.0,100.0,relu,sgd,0.1,0.0,0.0,0.9466323150533676,0.7980456026058632,0.7469512195121951,0.7716535433070866,0.8604994691114765
200,64.0,200.0,100.0,relu,sgd,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,relu,sgd,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,tanh,adam,0.1,0.0,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
300,64.0,200.0,100.0,tanh,adam,0.1,0.0,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
200,64.0,200.0,100.0,tanh,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,tanh,adam,0.1,0.001,0.5,0.7585572322414428,0.13876651982378854,0.19207317073170727,0.16112531969309465,0.5142031822683233
200,64.0,200.0,100.0,tanh,adam,0.001,0.0,0.5,0.9466323150533676,0.7850467289719626,0.7682926829268293,0.7765793528505393,0.8697051526814975
