word2vec,epoch,batch_size,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.1,0.0,0.0,0.2127346337872653,0.12192066805845513,0.8902439024390244,0.2144693352919574,0.5049796322576036
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.1,0.0,0.0,0.17114464482885536,0.12274509803921567,0.9542682926829268,0.2175121612230716,0.5089466201798896
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.1,0.001,0.0,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.1,0.001,0.0,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.001,0.0,0.0,0.5524475524475524,0.14251207729468598,0.5396341463414634,0.22547770700636946,0.5469204637107066
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.001,0.0,0.0,0.5564961354435038,0.1426242868785656,0.5335365853658537,0.2250803858520901,0.5465924869064512
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.001,0.001,0.0,0.5546558704453441,0.14146341463414633,0.5304878048780488,0.2233632862644416,0.5442309262983798
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.001,0.001,0.0,0.5616488774383511,0.14190871369294605,0.5213414634146342,0.22309197651663404,0.5442621925696025
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.1,0.0,0.0,0.34155318365844684,0.12786551197147222,0.7652439024390244,0.21911828895678745,0.5243130353551338
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.1,0.0,0.0,0.21972764078027235,0.12479061976549413,0.9085365853658536,0.219440353460972,0.5168467774045677
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.1,0.001,0.0,0.5627530364372471,0.14285714285714285,0.5243902439024389,0.2245430809399478,0.5462051679955895
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.1,0.001,0.0,0.1924917188075083,0.12257281553398056,0.9237804878048779,0.21642857142857144,0.50793461393174
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.001,0.0,0.0,0.5601766654398234,0.14320987654320988,0.5304878048780488,0.2255346727154893,0.5473703151640139
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.001,0.0,0.0,0.5612808244387192,0.14356435643564355,0.5304878048780488,0.225974025974026,0.5479981929371408
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.001,0.001,0.0,0.5601766654398234,0.14320987654320988,0.5304878048780488,0.2255346727154893,0.5473703151640139
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.001,0.001,0.0,0.5601766654398234,0.14320987654320988,0.5304878048780488,0.2255346727154893,0.5473703151640139
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.1,0.0,0.0,0.12108943687891055,0.12076583210603828,1.0,0.21550591327201046,0.5002092925910423
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.1,0.001,0.0,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.001,0.0,0.0,0.5524475524475524,0.14193548387096774,0.5365853658536586,0.22448979591836726,0.5456053660578464
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.001,0.0,0.0,0.5524475524475524,0.14193548387096774,0.5365853658536586,0.22448979591836726,0.5456053660578464
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.001,0.001,0.0,0.5612808244387192,0.14297520661157026,0.5274390243902439,0.22496749024707413,0.5466830952842806
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.001,0.001,0.0,0.5642252484357747,0.14392678868552414,0.5274390243902439,0.2261437908496732,0.5483574360126189
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.1,0.0,0.0,0.5509753404490246,0.1420545746388443,0.5396341463414634,0.22490470139771285,0.5460832933465374
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.1,0.0,0.0,0.3411851306588149,0.12817904374364192,0.7682926829268293,0.21970357454228426,0.5254188404169516
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.1,0.001,0.0,0.5656974604343026,0.14321608040201006,0.5213414634146342,0.2247043363994744,0.5465644110710677
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.1,0.001,0.0,0.3367684946632315,0.12852822580645162,0.7774390243902439,0.22058823529411764,0.5268526222830249
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.001,0.0,0.0,0.5579683474420316,0.14250614250614252,0.5304878048780488,0.22466107165913493,0.5461145596177603
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.001,0.0,0.0,0.5587044534412956,0.14332514332514332,0.5335365853658537,0.2259522272433828,0.5478482424527049
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.001,0.001,0.0,0.5576002944423997,0.14238952536824878,0.5304878048780488,0.22451612903225807,0.5459052670267179
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.001,0.001,0.0,0.5587044534412956,0.14332514332514332,0.5335365853658537,0.2259522272433828,0.5478482424527049
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.1,0.0,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.1,0.001,0.5,0.868237026131763,0.08333333333333333,0.009146341463414634,0.016483516483516484,0.4976665152273122
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.001,0.0,0.5,0.5517114464482885,0.14170692431561996,0.5365853658536586,0.22420382165605096,0.5451867808757619
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.001,0.0,0.5,0.5546558704453441,0.14320388349514562,0.5396341463414634,0.2263427109974425,0.5481762192569601
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,adam,0.001,0.001,0.5,0.5568641884431358,0.14157119476268412,0.5274390243902439,0.2232258064516129,0.5441715841917734
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,adam,0.001,0.001,0.5,0.5634891424365108,0.14309484193011648,0.5243902439024389,0.22483660130718955,0.5466237531776741
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.1,0.0,0.5,0.34486566065513435,0.1284544524053224,0.7652439024390244,0.21998247151621386,0.5261966686745143
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.1,0.0,0.5,0.2215679057784321,0.12442202606137033,0.902439024390244,0.21869227927595125,0.5152630450540587
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.1,0.001,0.5,0.5645933014354066,0.14285714285714285,0.5213414634146342,0.2242622950819672,0.5459365332979408
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.1,0.001,0.5,0.1935958778064041,0.12241588974462912,0.9207317073170732,0.2161001788908765,0.5072473940520067
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.001,0.0,0.5,0.5601766654398234,0.14320987654320988,0.5304878048780488,0.2255346727154893,0.5473703151640139
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.001,0.0,0.5,0.5605447184394553,0.14332784184514002,0.5304878048780488,0.2256809338521401,0.5475796077550562
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,tanh,sgd,0.001,0.001,0.5,0.5601766654398234,0.14320987654320988,0.5304878048780488,0.2255346727154893,0.5473703151640139
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,tanh,sgd,0.001,0.001,0.5,0.5601766654398234,0.14320987654320988,0.5304878048780488,0.2255346727154893,0.5473703151640139
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.1,0.0,0.5,0.12108943687891055,0.12076583210603828,1.0,0.21550591327201046,0.5002092925910423
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.1,0.001,0.5,0.8778064041221936,0.0,0.0,0.0,0.4991628296358309
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.1,0.001,0.5,0.8789105631210894,0.0,0.0,0.0,0.4997907074089577
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.001,0.0,0.5,0.5528156054471844,0.1420500403551251,0.5365853658536586,0.22463305679642628,0.5458146586488888
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.001,0.0,0.5,0.5546558704453441,0.1426256077795786,0.5365853658536586,0.22535211267605634,0.5468611216041002
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,adam,0.001,0.001,0.5,0.5616488774383511,0.14250207125103562,0.5243902439024389,0.2241042345276873,0.5455772902224627
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,adam,0.001,0.001,0.5,0.5660655134339345,0.14333612740989102,0.5213414634146342,0.2248520710059172,0.5467737036621099
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.1,0.0,0.5,0.3367684946632315,0.12815338042381433,0.774390243902439,0.21991341991341992,0.5255375246301647
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.1,0.0,0.5,0.5524475524475524,0.14251207729468598,0.5396341463414634,0.22547770700636946,0.5469204637107066
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.1,0.001,0.5,0.5664335664335665,0.14345637583892618,0.5213414634146342,0.225,0.5469829962531522
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.1,0.001,0.5,0.3386087596613913,0.129601613716591,0.7835365853658537,0.22241453916053647,0.5305292805439565
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.001,0.0,0.5,0.5579683474420316,0.14250614250614252,0.5304878048780488,0.22466107165913493,0.5461145596177603
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.001,0.0,0.5,0.5587044534412956,0.14273995077932733,0.5304878048780488,0.22495151906916613,0.5465331447998448
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,100,relu,sgd,0.001,0.001,0.5,0.5579683474420316,0.14250614250614252,0.5304878048780488,0.22466107165913493,0.5461145596177603
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,100,relu,sgd,0.001,0.001,0.5,0.5579683474420316,0.14250614250614252,0.5304878048780488,0.22466107165913493,0.5461145596177603
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.001,0.0,0.0,0.5590725064409275,0.14226973684210525,0.5274390243902439,0.22409326424870465,0.5454273397380269
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.001,0.0,0.0,0.5620169304379831,0.14380165289256194,0.5304878048780488,0.2262678803641092,0.5484167781192254
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.001,0.001,0.0,0.5568641884431358,0.14157119476268412,0.5274390243902439,0.2232258064516129,0.5441715841917734
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.001,0.001,0.0,0.3452337136547663,0.12813941568426448,0.7621951219512195,0.21939447125932424,0.5250908636126964
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.1,0.0,0.0,0.8623481781376519,0.140625,0.027439024390243903,0.04591836734693878,0.5022084196877967
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.1,0.0,0.0,0.5590725064409275,0.14344262295081964,0.5335365853658537,0.2260981912144703,0.5480575350437472
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.1,0.001,0.0,0.8645564961354435,0.1153846153846154,0.018292682926829267,0.03157894736842105,0.4995188822754699
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.1,0.001,0.0,0.3437615016562385,0.12863705972434916,0.7682926829268293,0.220376038478356,0.5268838885542476
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.001,0.0,0.0,0.5594405594405595,0.14472608340147178,0.5396341463414634,0.22823984526112184,0.5508970229405098
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.001,0.0,0.0,0.5605447184394553,0.14508196721311475,0.5396341463414634,0.22868217054263565,0.5515249007136367
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.001,0.001,0.0,0.5587044534412956,0.14448979591836736,0.5396341463414634,0.2279459111397296,0.5504784377584253
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.001,0.001,0.0,0.5598086124401914,0.1448445171849427,0.5396341463414634,0.22838709677419355,0.5511063155315521
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,adam,0.1,0.001,0.0,0.8678689731321311,0.13953488372093026,0.018292682926829267,0.03234501347708895,0.5014025155948504
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,adam,0.001,0.0,0.0,0.5506072874493927,0.14136546184738955,0.5365853658536586,0.22377622377622367,0.544558903102635
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,adam,0.001,0.0,0.0,0.5502392344497608,0.14182692307692307,0.5396341463414634,0.2246192893401016,0.5456647081644529
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,adam,0.001,0.001,0.0,0.5579683474420316,0.14191960623461855,0.5274390243902439,0.22365869424692955,0.5447994619649
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,adam,0.001,0.001,0.0,0.5598086124401914,0.14426229508196722,0.5365853658536586,0.2273901808785529,0.549791217878692
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,sgd,0.1,0.0,0.0,0.5520794994479205,0.1423974255832663,0.5396341463414634,0.2253341820496499,0.5467111711196643
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,sgd,0.1,0.0,0.0,0.5535517114464483,0.14285714285714285,0.5396341463414634,0.22590938098276964,0.5475483414838334
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,sgd,0.1,0.001,0.0,0.5572322414427677,0.14227309893704007,0.5304878048780488,0.2243713733075436,0.5456959744356757
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,sgd,0.1,0.001,0.0,0.3367684946632315,0.12890231621349446,0.7804878048780488,0.2212618841832325,0.5281677199358851
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,sgd,0.001,0.0,0.0,0.5546558704453441,0.14378029079159935,0.5426829268292683,0.227330779054917,0.5494913169098204
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,sgd,0.001,0.0,0.0,0.55576002944424,0.14470493128536782,0.5457317073170732,0.22875399361022364,0.5514342923358073
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,sgd,0.001,0.001,0.0,0.5546558704453441,0.14378029079159935,0.5426829268292683,0.227330779054917,0.5494913169098204
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,sgd,0.001,0.001,0.0,0.55576002944424,0.14412955465587046,0.5426829268292683,0.2277671145233525,0.5501191946829473
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.1,0.001,0.5,0.8748619801251378,0.07142857142857142,0.003048780487804878,0.005847953216374269,0.4988035865603528
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.001,0.0,0.5,0.5590725064409275,0.14226973684210525,0.5274390243902439,0.22409326424870465,0.5454273397380269
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.001,0.0,0.5,0.5535517114464483,0.14227970897332254,0.5365853658536586,0.2249201277955272,0.5462332438309733
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,adam,0.001,0.001,0.5,0.5590725064409275,0.14285714285714285,0.5304878048780488,0.22509702457956016,0.5467424373908871
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,adam,0.001,0.001,0.5,0.3441295546558704,0.12908163265306122,0.7713414634146342,0.22115384615384606,0.5284082787981501
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.1,0.0,0.5,0.8627162311372838,0.14285714285714285,0.027439024390243903,0.04603580562659847,0.502417712278839
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.1,0.0,0.5,0.34560176665439823,0.12896622313203684,0.7682926829268293,0.22085889570552147,0.527930351509459
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.1,0.001,0.5,0.8638203901361796,0.1111111111111111,0.018292682926829267,0.031413612565445025,0.4991002970933853
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.1,0.001,0.5,0.34486566065513435,0.12883435582822084,0.7682926829268293,0.22066549912434325,0.5275117663273744
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.001,0.0,0.5,0.5590725064409275,0.14460784313725492,0.5396341463414634,0.22809278350515466,0.5506877303494675
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.001,0.0,0.5,0.5601766654398234,0.14496314496314494,0.5396341463414634,0.22853453841187865,0.5513156081225944
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,tanh,sgd,0.001,0.001,0.5,0.5587044534412956,0.14506927465362673,0.5426829268292683,0.2289389067524116,0.5517935354112855
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,tanh,sgd,0.001,0.001,0.5,0.5590725064409275,0.14460784313725492,0.5396341463414634,0.22809278350515466,0.5506877303494675
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
w2v_enwiki_d200_w12_without_preprocessed.model,250,64,200,relu,adam,0.1,0.001,0.5,0.12108943687891055,0.12076583210603828,1.0,0.21550591327201046,0.5002092925910423
w2v_enwiki_d200_w12_without_preprocessed.model,200,64,200,relu,adam,0.001,0.0,0.5,0.5583364004416635,0.14203612479474548,0.5274390243902439,0.2238033635187581,0.5450087545559423
